OpportunityID,MeetingDate,MeetingType,Duration,AttendeesCount,DecisionMakerPresent,TechnicalPersonPresent,ProcurementPresent,MeetingRating,FollowUpScheduled,ActionItemsAssigned
14,2025-03-14,Stakeholder Meeting,105,3,True,True,True,9,False,5
15,2024-10-02,Negotiation,74,4,False,True,True,8,False,4
15,2024-05-13,Technical Deep Dive,52,5,True,True,False,6,True,4
15,2024-07-16,Negotiation,103,4,False,False,False,4,False,3
15,2024-11-02,Stakeholder Meeting,105,8,True,False,True,5,True,3
15,2024-10-21,Product Demo,116,7,True,False,False,6,True,5
15,2024-07-18,Product Demo,66,2,False,False,True,9,True,3
15,2024-07-31,Technical Deep Dive,57,6,False,True,True,8,True,1
15,2024-11-16,Product Demo,63,3,True,True,True,10,False,1
16,2025-03-01,Discovery Call,40,7,False,True,True,8,False,4
16,2025-04-23,Stakeholder Meeting,103,8,False,False,True,9,False,3
16,2025-03-30,Negotiation,46,2,False,False,True,9,False,3
16,2025-07-27,Product Demo,88,2,False,False,True,1,True,3
16,2025-06-30,Discovery Call,71,4,False,True,False,4,False,3
16,2025-07-08,Technical Deep Dive,76,3,False,False,True,7,False,2
16,2025-05-15,Technical Deep Dive,87,3,True,True,True,5,True,4
16,2025-05-23,Stakeholder Meeting,55,3,True,False,True,3,False,3
17,2024-12-09,Negotiation,98,7,False,False,False,5,True,3
17,2024-07-26,Final Approval,50,2,True,False,False,2,False,5
17,2024-09-24,Technical Deep Dive,76,4,False,False,True,7,True,2
18,2024-11-24,Negotiation,55,6,True,False,False,6,False,5
18,2024-09-26,Discovery Call,78,6,False,False,True,3,False,3
18,2024-11-12,Negotiation,103,5,True,True,True,6,True,2
18,2024-08-24,Final Approval,67,7,False,False,False,8,False,5
18,2024-11-01,Negotiation,87,5,True,True,True,3,True,5
18,2024-08-07,Final Approval,119,7,True,True,True,7,True,0
18,2024-06-20,Stakeholder Meeting,100,2,True,False,True,2,False,4
18,2024-07-13,Discovery Call,113,5,False,True,True,5,False,5
19,2025-01-05,Negotiation,51,2,True,False,False,8,False,4
19,2025-02-10,Negotiation,86,3,True,False,False,9,False,2
19,2025-04-05,Negotiation,59,8,True,False,False,6,False,2
20,2025-03-02,Discovery Call,30,6,True,False,False,8,True,5
20,2025-04-19,Stakeholder Meeting,68,2,False,False,True,1,False,1
20,2025-03-30,Negotiation,85,5,True,True,False,7,True,2
21,2025-03-21,Final Approval,60,6,False,False,False,7,True,0
21,2025-01-18,Product Demo,67,2,False,False,False,10,False,1
22,2025-01-08,Product Demo,36,6,True,True,True,5,False,1
22,2025-07-06,Stakeholder Meeting,31,3,True,True,True,8,True,2
22,2025-04-21,Technical Deep Dive,93,4,False,True,False,2,True,0
22,2025-03-13,Stakeholder Meeting,39,6,False,True,True,5,False,0
23,2025-04-04,Final Approval,61,5,False,True,True,4,False,5
23,2025-04-05,Discovery Call,96,7,True,False,False,5,False,1
24,2025-06-07,Discovery Call,100,6,True,False,False,5,True,2
24,2024-12-16,Final Approval,57,2,True,False,False,1,True,2
24,2025-05-01,Discovery Call,80,8,True,True,True,10,False,5
24,2025-05-04,Product Demo,77,8,True,True,True,8,True,5
24,2025-05-10,Technical Deep Dive,110,2,True,False,True,9,True,1
24,2025-04-06,Product Demo,70,6,False,False,True,1,False,2
24,2025-06-06,Product Demo,62,2,False,False,False,9,False,1
25,2025-05-10,Negotiation,74,4,False,False,True,2,True,3
25,2025-06-07,Technical Deep Dive,99,4,False,True,False,3,True,4
25,2025-06-25,Negotiation,60,4,True,False,True,9,False,4
25,2025-05-02,Negotiation,66,4,False,False,True,2,True,0
25,2025-04-26,Product Demo,34,3,True,False,True,2,True,4
25,2025-09-04,Stakeholder Meeting,114,5,False,True,False,4,True,0
26,2025-05-02,Stakeholder Meeting,40,5,True,False,False,6,True,4
26,2025-01-23,Negotiation,35,7,True,False,True,4,True,0
26,2025-05-20,Product Demo,98,5,True,True,True,10,True,4
27,2025-01-07,Stakeholder Meeting,43,8,False,False,False,2,True,1
27,2025-01-05,Stakeholder Meeting,94,4,True,False,False,6,False,2
27,2024-12-01,Final Approval,85,8,False,True,True,7,False,2
27,2024-12-11,Stakeholder Meeting,80,2,True,False,True,9,True,2
27,2024-08-19,Technical Deep Dive,58,3,False,True,False,9,True,0
27,2024-08-27,Stakeholder Meeting,75,3,True,False,False,10,True,1
27,2024-10-22,Technical Deep Dive,41,6,False,True,True,6,False,1
28,2025-07-26,Final Approval,103,8,True,False,True,10,False,0
28,2025-08-18,Discovery Call,72,4,False,False,True,4,True,5
28,2025-08-18,Final Approval,78,2,False,True,False,9,True,2
28,2025-06-08,Final Approval,58,3,True,False,False,10,True,1
28,2025-05-21,Technical Deep Dive,80,3,True,False,True,8,True,4
29,2024-06-23,Discovery Call,81,6,False,True,True,8,True,3
29,2024-07-27,Final Approval,103,3,True,True,True,5,False,2
29,2024-10-09,Negotiation,41,2,False,False,False,6,True,2
29,2024-07-14,Negotiation,113,2,False,True,False,10,False,4
29,2024-05-24,Stakeholder Meeting,35,8,True,True,False,3,True,0
30,2024-08-27,Product Demo,109,3,False,True,False,2,False,3
30,2024-12-12,Discovery Call,72,3,True,True,False,9,False,4
30,2025-02-16,Product Demo,118,7,True,False,True,5,True,0
30,2024-10-25,Product Demo,119,6,False,True,False,1,True,3
30,2025-01-30,Technical Deep Dive,114,8,False,True,True,5,False,1
30,2024-11-19,Negotiation,120,2,False,False,True,3,True,4
30,2024-12-09,Negotiation,32,2,True,False,False,8,False,5
31,2024-08-17,Technical Deep Dive,117,4,False,False,True,9,False,0
31,2025-01-20,Technical Deep Dive,79,8,True,False,True,3,False,3
31,2025-01-28,Product Demo,41,7,False,True,False,4,True,3
32,2025-04-23,Technical Deep Dive,87,6,True,True,True,10,True,1
32,2025-02-07,Final Approval,120,6,True,False,True,10,True,2
32,2024-12-07,Negotiation,98,7,True,True,False,3,True,2
32,2025-03-05,Stakeholder Meeting,68,5,False,True,True,2,True,1
33,2025-05-30,Negotiation,108,4,True,True,True,1,False,0
33,2025-05-11,Stakeholder Meeting,47,6,False,False,True,7,False,3
34,2025-03-14,Product Demo,58,2,False,True,False,7,True,5
34,2025-07-22,Product Demo,56,2,True,False,False,6,False,1
34,2025-05-21,Stakeholder Meeting,35,6,False,False,False,10,True,4
35,2025-01-28,Stakeholder Meeting,35,3,False,True,False,9,True,1
35,2024-12-18,Stakeholder Meeting,80,4,False,False,True,7,False,4
36,2025-02-12,Negotiation,48,5,False,True,True,3,True,3
36,2024-12-03,Technical Deep Dive,87,2,True,False,True,8,True,2
37,2025-04-12,Final Approval,50,7,True,True,True,8,False,0
37,2025-02-28,Final Approval,79,7,True,False,False,1,True,2
37,2025-03-10,Final Approval,49,3,True,True,True,7,False,2
37,2025-04-21,Stakeholder Meeting,66,7,True,True,True,4,True,4
38,2024-11-12,Discovery Call,88,5,False,True,False,4,True,4
38,2025-02-24,Stakeholder Meeting,88,5,False,True,True,4,False,4
38,2025-02-16,Negotiation,56,2,True,True,True,6,True,1
38,2024-09-17,Final Approval,103,8,False,False,True,1,True,3
38,2024-10-24,Product Demo,116,4,True,False,False,1,True,2
38,2024-11-30,Technical Deep Dive,78,8,True,False,True,5,False,1
38,2024-10-10,Final Approval,65,4,False,True,True,10,True,0
38,2025-02-02,Final Approval,110,6,True,False,False,7,False,2
39,2024-12-16,Negotiation,75,3,False,False,False,3,True,5
39,2024-10-04,Product Demo,30,2,True,False,True,4,False,3
39,2024-08-02,Technical Deep Dive,74,6,True,True,True,5,False,0
39,2024-10-08,Technical Deep Dive,94,6,False,True,True,6,False,3
39,2025-01-23,Negotiation,108,2,True,True,False,6,False,3
39,2024-07-31,Final Approval,47,5,True,False,False,8,False,5
40,2024-09-16,Technical Deep Dive,102,7,False,True,True,10,False,2
40,2024-05-22,Product Demo,65,8,True,False,False,9,True,4
41,2024-12-12,Product Demo,106,2,False,False,True,5,False,0
41,2025-01-09,Product Demo,77,5,False,True,False,3,True,2
41,2025-03-23,Discovery Call,55,2,False,True,False,9,True,1
41,2024-11-30,Stakeholder Meeting,97,4,False,True,True,9,True,1
41,2025-03-08,Discovery Call,88,5,True,True,False,1,True,2
41,2025-01-01,Discovery Call,43,6,False,True,False,4,False,1
42,2024-12-05,Technical Deep Dive,98,4,False,True,False,3,True,2
42,2024-10-22,Discovery Call,109,6,True,True,False,9,False,2
42,2024-10-29,Final Approval,66,6,True,True,True,5,False,4
43,2024-12-05,Product Demo,33,5,True,True,False,1,True,3
43,2025-03-03,Product Demo,120,6,False,False,False,6,True,5
43,2025-06-05,Final Approval,98,2,False,True,True,8,True,3
43,2025-02-10,Final Approval,112,7,False,False,True,4,True,4
43,2025-01-28,Technical Deep Dive,80,3,False,False,False,8,True,0
44,2024-08-11,Technical Deep Dive,91,5,True,False,False,10,True,4
44,2024-08-09,Stakeholder Meeting,43,4,True,False,False,7,False,1
44,2024-12-19,Product Demo,100,3,False,False,True,6,True,5
44,2024-12-12,Stakeholder Meeting,85,6,False,True,True,2,False,0
44,2024-12-12,Negotiation,89,4,True,False,True,5,False,0
45,2024-07-02,Final Approval,106,8,False,False,False,1,True,1
45,2024-07-10,Negotiation,111,8,True,True,True,8,False,3
45,2024-11-09,Negotiation,87,3,True,False,False,10,False,3
45,2024-12-05,Technical Deep Dive,41,6,True,False,True,5,True,2
45,2024-10-23,Discovery Call,30,7,False,True,False,1,True,3
45,2024-12-01,Negotiation,80,7,False,False,False,7,False,4
46,2024-12-05,Product Demo,90,3,True,False,False,7,True,2
46,2024-12-07,Product Demo,47,2,True,True,True,8,False,1
46,2024-07-10,Product Demo,112,8,False,False,False,10,True,3
47,2024-08-21,Negotiation,87,5,False,True,True,7,True,4
47,2024-09-09,Final Approval,60,7,False,False,False,1,True,4
47,2024-09-05,Final Approval,77,2,False,True,True,9,False,3
47,2024-09-14,Discovery Call,96,6,True,True,False,2,False,4
47,2024-05-18,Technical Deep Dive,98,8,True,False,False,9,False,4
47,2024-11-08,Technical Deep Dive,83,4,False,False,True,1,False,5
48,2025-05-11,Technical Deep Dive,37,7,False,True,True,5,True,2
48,2025-04-21,Discovery Call,46,6,True,False,False,3,False,2
48,2025-02-21,Discovery Call,44,6,True,True,False,6,True,2
48,2025-07-06,Final Approval,60,5,True,True,False,2,True,4
48,2025-01-26,Stakeholder Meeting,82,8,False,True,False,3,True,4
48,2025-06-23,Technical Deep Dive,36,7,False,True,True,3,False,3
48,2025-04-18,Technical Deep Dive,90,7,True,False,False,8,False,1
48,2025-05-02,Stakeholder Meeting,31,4,False,False,False,9,True,0
49,2025-02-19,Technical Deep Dive,85,6,False,False,False,5,True,2
49,2025-02-23,Negotiation,80,5,True,True,False,3,False,4
49,2024-09-11,Final Approval,31,8,True,True,False,2,True,5
49,2025-01-01,Technical Deep Dive,58,7,False,False,True,1,True,4
49,2024-10-02,Discovery Call,106,7,True,True,True,2,True,3
49,2025-02-24,Final Approval,102,8,True,True,True,5,False,3
50,2024-08-17,Final Approval,88,4,False,False,False,3,True,2
50,2025-02-12,Discovery Call,78,5,False,True,False,5,True,3
50,2024-08-15,Stakeholder Meeting,55,6,False,True,False,2,True,4
50,2025-02-10,Stakeholder Meeting,57,6,True,False,False,2,True,0
50,2024-08-16,Negotiation,62,8,False,True,False,3,True,0
50,2025-01-15,Stakeholder Meeting,64,3,False,False,True,9,False,3
50,2024-11-17,Stakeholder Meeting,38,6,True,True,False,8,True,4
51,2025-02-01,Technical Deep Dive,117,4,False,True,True,6,False,0
51,2025-02-27,Technical Deep Dive,112,3,True,True,False,4,False,5
51,2025-02-09,Discovery Call,110,7,False,False,True,8,True,1
51,2024-11-11,Product Demo,33,7,True,False,False,2,False,3
51,2025-03-18,Stakeholder Meeting,32,2,False,True,False,1,False,0
51,2024-12-26,Final Approval,115,6,False,True,True,2,True,5
52,2025-04-23,Final Approval,32,5,True,True,True,1,True,5
52,2024-12-31,Technical Deep Dive,42,5,True,True,True,2,False,4
52,2025-05-25,Product Demo,38,8,True,False,False,7,False,0
53,2025-01-31,Negotiation,47,4,True,True,True,6,True,0
53,2024-11-15,Product Demo,83,3,False,True,False,4,True,1
53,2024-10-01,Final Approval,108,5,True,True,False,2,True,0
53,2024-10-21,Discovery Call,120,7,False,False,False,3,True,1
53,2025-02-16,Technical Deep Dive,96,5,False,True,True,10,True,4
53,2024-10-22,Final Approval,93,6,True,False,False,7,True,4
53,2024-11-05,Product Demo,45,6,True,False,True,8,True,2
54,2025-01-10,Discovery Call,49,7,False,False,True,3,True,0
54,2025-05-06,Technical Deep Dive,66,3,False,False,False,10,False,0
55,2025-03-28,Discovery Call,98,3,True,True,False,9,True,0
55,2024-11-19,Final Approval,86,6,False,False,True,6,True,0
56,2024-07-01,Discovery Call,60,7,False,True,False,4,True,3
56,2024-09-30,Stakeholder Meeting,36,5,True,True,False,3,False,2
56,2024-06-07,Stakeholder Meeting,54,7,False,False,True,6,True,0
56,2024-10-28,Negotiation,37,4,True,True,False,8,False,1
57,2024-07-07,Product Demo,67,6,True,True,True,2,False,4
57,2024-08-14,Product Demo,105,5,False,False,True,7,True,1
57,2024-07-03,Stakeholder Meeting,104,3,True,True,False,1,True,3
57,2024-10-15,Negotiation,34,5,False,False,True,8,False,1
57,2024-05-02,Negotiation,31,7,False,True,True,6,False,1
57,2024-09-23,Discovery Call,32,5,False,True,False,10,True,3
57,2024-08-07,Product Demo,120,5,True,False,False,1,True,3
57,2024-10-04,Technical Deep Dive,97,2,False,False,False,10,True,5
58,2024-12-15,Technical Deep Dive,37,6,False,True,True,7,False,3
58,2024-12-15,Discovery Call,76,4,True,True,True,3,False,1
59,2024-11-27,Final Approval,91,7,True,True,False,6,False,4
59,2025-04-21,Stakeholder Meeting,65,2,True,False,False,8,False,4
59,2025-03-12,Discovery Call,90,7,False,False,False,2,True,3
59,2024-11-20,Discovery Call,80,3,False,True,True,3,False,0
59,2025-04-25,Product Demo,93,3,True,True,False,7,True,3
59,2025-01-25,Stakeholder Meeting,86,7,True,False,True,2,True,1
60,2024-11-27,Final Approval,72,5,False,False,False,10,False,3
60,2024-10-02,Negotiation,46,8,False,True,False,4,False,2
60,2024-09-28,Discovery Call,48,4,False,False,True,10,True,5
60,2024-12-01,Technical Deep Dive,53,3,True,True,True,2,True,2
60,2024-12-11,Product Demo,86,4,False,True,True,9,True,5
60,2024-10-06,Technical Deep Dive,48,4,False,True,False,2,True,3
60,2024-11-21,Product Demo,88,4,True,True,False,5,False,2
60,2025-01-26,Negotiation,115,3,False,False,True,8,True,1
61,2024-09-02,Discovery Call,69,2,False,True,False,6,True,2
61,2024-04-28,Negotiation,112,3,True,False,True,1,True,4
61,2024-08-06,Final Approval,115,2,False,True,False,6,True,5
61,2024-07-15,Stakeholder Meeting,48,7,False,False,False,6,True,2
61,2024-07-11,Technical Deep Dive,69,5,True,True,False,7,False,2
61,2024-05-25,Final Approval,84,7,False,True,True,3,True,2
61,2024-08-13,Negotiation,72,2,False,True,True,7,False,3
62,2025-03-21,Stakeholder Meeting,120,6,True,True,True,7,False,4
62,2025-03-04,Discovery Call,68,8,False,False,False,4,True,0
62,2024-12-08,Technical Deep Dive,68,7,False,True,False,7,True,3
63,2025-04-12,Product Demo,33,2,False,False,True,10,False,4
63,2025-03-01,Negotiation,85,8,False,False,True,6,True,2
63,2024-12-09,Negotiation,37,3,False,False,True,6,True,0
63,2025-01-06,Technical Deep Dive,83,7,False,True,False,5,True,4
63,2024-12-17,Final Approval,53,8,True,True,False,6,False,2
63,2025-04-22,Final Approval,118,4,True,False,True,1,True,4
63,2025-01-09,Technical Deep Dive,92,5,False,True,True,4,True,4
64,2024-05-26,Negotiation,108,7,True,False,False,2,True,1
64,2024-04-12,Stakeholder Meeting,74,4,False,True,False,10,False,1
64,2024-10-06,Technical Deep Dive,33,7,True,True,True,3,True,2
65,2024-10-31,Product Demo,40,5,True,True,True,8,False,0
65,2024-10-28,Discovery Call,34,8,True,False,True,5,True,0
65,2024-11-24,Final Approval,31,8,True,True,True,10,True,1
66,2024-08-19,Discovery Call,41,3,False,False,False,3,True,4
66,2024-10-14,Discovery Call,42,8,True,True,True,5,True,4
66,2024-05-23,Final Approval,42,3,False,False,True,8,True,1
66,2024-08-20,Stakeholder Meeting,84,3,True,False,True,6,True,3
66,2024-06-19,Negotiation,47,5,False,False,True,2,False,3
66,2024-06-20,Stakeholder Meeting,66,5,False,False,True,9,False,2
66,2024-09-08,Product Demo,38,8,False,False,True,1,False,5
67,2025-02-27,Stakeholder Meeting,96,7,True,True,True,7,False,5
67,2025-04-18,Discovery Call,51,2,False,True,False,4,False,0
68,2025-06-03,Final Approval,93,4,False,False,False,8,False,3
68,2025-06-25,Technical Deep Dive,48,8,False,True,True,5,False,3
68,2025-04-15,Final Approval,47,2,True,True,True,8,True,1
69,2024-09-23,Final Approval,71,3,False,True,True,9,False,3
69,2024-06-12,Technical Deep Dive,114,5,False,False,False,9,True,0
69,2024-08-10,Discovery Call,79,5,False,False,False,8,True,0
69,2024-06-06,Negotiation,114,8,False,True,False,7,True,2
69,2024-10-22,Stakeholder Meeting,92,8,True,False,False,8,True,4
70,2024-07-09,Technical Deep Dive,93,6,False,False,False,6,True,0
70,2024-08-29,Discovery Call,46,8,False,False,True,6,False,0
71,2025-02-13,Technical Deep Dive,82,4,True,True,True,4,False,4
71,2024-12-08,Final Approval,38,8,False,True,False,3,True,4
71,2025-02-08,Discovery Call,88,7,False,False,False,1,False,4
71,2024-11-22,Technical Deep Dive,78,6,False,False,True,8,True,5
71,2025-05-08,Product Demo,73,5,False,True,False,6,False,1
72,2024-12-11,Discovery Call,98,3,False,False,True,5,False,1
72,2024-12-08,Final Approval,41,7,True,False,False,2,False,3
72,2024-08-24,Technical Deep Dive,39,7,False,False,False,9,False,1
72,2024-10-16,Stakeholder Meeting,62,6,False,True,True,9,True,4
72,2024-11-06,Product Demo,114,8,False,False,False,10,True,4
73,2025-01-27,Stakeholder Meeting,48,3,True,False,False,7,False,0
73,2025-04-06,Product Demo,82,4,False,True,False,10,True,3
73,2024-12-26,Discovery Call,49,3,True,True,False,8,False,4
74,2024-09-17,Final Approval,34,3,True,False,True,1,False,2
74,2024-11-16,Negotiation,52,7,True,False,True,1,True,2
74,2024-11-02,Technical Deep Dive,38,5,False,True,False,3,True,0
74,2024-10-25,Final Approval,94,2,False,False,True,4,True,2
74,2024-08-24,Negotiation,79,8,True,False,True,3,True,1
75,2025-02-25,Stakeholder Meeting,82,4,True,False,False,2,False,4
75,2025-04-04,Stakeholder Meeting,117,3,False,True,False,8,False,2
75,2024-12-22,Final Approval,107,2,True,True,False,9,False,2
76,2025-01-01,Technical Deep Dive,117,2,True,False,False,1,False,2
76,2024-09-21,Discovery Call,60,4,True,True,False,6,False,0
76,2024-09-14,Discovery Call,92,5,False,False,False,2,True,5
76,2024-09-10,Negotiation,38,4,False,False,False,1,True,5
76,2024-12-17,Product Demo,110,5,True,True,False,4,False,2
76,2024-11-30,Discovery Call,44,3,True,True,False,6,False,3
76,2025-01-10,Product Demo,63,3,False,False,True,2,False,2
77,2024-10-25,Stakeholder Meeting,103,3,True,True,True,2,False,1
77,2024-09-22,Final Approval,51,2,False,False,False,3,True,2
77,2024-08-29,Negotiation,45,2,False,False,False,2,True,5
78,2024-12-20,Technical Deep Dive,66,7,False,False,True,7,True,4
78,2024-12-27,Technical Deep Dive,116,3,False,True,False,3,True,2
78,2025-01-08,Product Demo,109,5,True,False,False,2,True,3
79,2024-07-05,Final Approval,80,7,True,False,False,10,False,0
79,2024-05-08,Negotiation,37,2,False,True,False,6,True,0
79,2024-06-17,Negotiation,109,5,False,False,False,3,True,4
80,2025-02-08,Product Demo,94,5,False,False,True,2,False,5
80,2025-04-18,Stakeholder Meeting,48,4,True,False,True,3,False,2
80,2025-06-13,Technical Deep Dive,85,4,False,False,False,7,True,2
81,2025-05-30,Product Demo,101,8,False,True,True,3,True,1
81,2025-03-12,Discovery Call,90,4,True,False,False,2,False,0
81,2025-05-18,Technical Deep Dive,120,6,False,False,False,2,True,0
81,2025-04-24,Discovery Call,56,8,False,True,True,9,False,4
81,2025-07-13,Negotiation,57,6,True,True,False,2,True,3
81,2025-07-17,Discovery Call,72,2,False,True,False,6,True,2
81,2025-03-05,Discovery Call,40,5,False,False,False,10,True,2
82,2025-09-07,Negotiation,87,4,True,True,True,5,False,0
82,2025-09-30,Discovery Call,100,6,False,True,False,5,True,1
83,2024-09-05,Discovery Call,32,8,True,True,False,7,False,5
83,2024-12-04,Final Approval,49,2,False,False,False,5,True,2
83,2024-11-12,Discovery Call,77,6,True,False,False,7,False,2
83,2024-10-17,Negotiation,84,2,False,False,True,7,False,0
83,2024-06-05,Negotiation,73,5,True,True,False,9,True,2
83,2024-09-22,Stakeholder Meeting,40,8,False,False,True,3,False,1
83,2024-10-06,Stakeholder Meeting,67,6,True,True,True,9,True,4
83,2024-09-11,Stakeholder Meeting,42,5,False,False,False,10,True,4
84,2024-08-13,Final Approval,114,5,True,True,False,1,True,3
84,2025-01-11,Technical Deep Dive,70,6,False,False,False,6,True,1
85,2024-11-26,Final Approval,107,4,True,False,True,1,False,0
85,2024-11-09,Product Demo,113,5,False,False,False,5,False,5
85,2025-04-27,Final Approval,116,5,False,True,True,3,True,1
86,2025-02-21,Final Approval,54,8,True,True,False,3,True,3
86,2025-07-27,Negotiation,54,2,False,False,True,8,False,0
87,2024-11-28,Product Demo,119,5,False,False,True,8,True,1
87,2024-12-31,Negotiation,80,2,False,True,True,7,False,3
88,2025-08-12,Negotiation,100,4,True,False,False,8,False,1
88,2025-09-15,Discovery Call,97,2,False,False,True,5,False,3
88,2025-04-15,Stakeholder Meeting,109,7,False,False,False,1,True,2
88,2025-09-18,Product Demo,90,4,False,True,True,10,False,4
88,2025-09-16,Final Approval,89,3,False,False,False,6,False,1
88,2025-08-23,Product Demo,66,7,True,False,True,3,True,1
88,2025-08-19,Stakeholder Meeting,42,8,False,False,False,4,True,4
89,2024-08-09,Technical Deep Dive,63,4,True,True,True,2,False,3
89,2024-09-03,Negotiation,59,2,True,False,False,6,False,0
90,2025-05-08,Technical Deep Dive,49,8,True,True,False,8,True,0
90,2025-07-05,Negotiation,108,8,True,True,True,3,True,1
90,2025-03-19,Product Demo,67,7,False,False,True,3,False,2
90,2025-01-21,Discovery Call,55,5,False,True,True,8,False,2
90,2025-04-25,Product Demo,40,4,False,False,False,4,True,4
90,2025-04-03,Product Demo,47,8,False,False,False,8,False,0
90,2025-04-09,Product Demo,31,7,True,True,False,6,False,1
90,2025-04-07,Discovery Call,80,8,True,True,True,9,False,3
91,2025-04-22,Final Approval,100,8,False,False,False,1,False,4
91,2025-04-04,Product Demo,119,5,False,True,False,6,False,1
91,2025-01-15,Discovery Call,34,6,False,False,True,9,False,1
91,2024-11-22,Negotiation,100,4,False,True,True,1,False,1
91,2025-05-16,Technical Deep Dive,84,6,True,True,False,5,False,0
92,2024-12-05,Final Approval,45,5,False,True,False,6,True,5
92,2024-10-21,Negotiation,110,7,True,False,False,5,True,5
93,2025-01-10,Final Approval,61,2,False,True,False,8,True,1
93,2025-02-28,Stakeholder Meeting,82,2,True,True,False,3,False,1
93,2024-12-22,Discovery Call,77,7,False,False,False,10,False,5
93,2024-12-16,Stakeholder Meeting,118,5,False,True,True,9,True,3
