OpportunityID,CallDate,CallDuration,CallType,Sentiment,Outcome,PainPointDiscussed,CompetitorMentioned,DecisionMakersPresent,TechnicalQuestions,PricingDiscussed,NextStepsAgreed,BudgetQualified,TimelineDiscussed,ChampionIdentified
18,2024-09-06,75,Negotiation,Neutral,Closed Won,Cost Optimization,OneTrust,3,7,False,False,False,True,True
18,2024-07-23,55,Discovery,Negative,Follow-up Needed,Operational Efficiency,Informatica,2,3,False,False,,False,True
18,2024-07-23,52,Demo,Neutral,Demo Scheduled,Risk Management,Collibra,2,4,True,True,,False,True
18,2024-11-14,77,Discovery,Positive,Follow-up Needed,Risk Management,Varonis,4,7,False,True,True,False,False
18,2024-07-03,23,Follow-up,Neutral,Discovery,Cost Optimization,None,1,2,True,False,True,True,True
19,2025-03-19,43,Follow-up,Neutral,Objection Handled,Risk Management,Microsoft Purview,4,4,True,True,True,True,False
19,2025-05-21,25,Demo,Positive,Demo Scheduled,Cost Optimization,Collibra,2,0,False,False,,False,False
19,2024-12-11,44,Negotiation,Negative,Proposal Requested,Operational Efficiency,Varonis,1,10,True,False,,True,False
19,2025-01-01,84,Demo,Negative,Demo Scheduled,Risk Management,Informatica,1,0,True,False,,False,False
19,2025-01-03,74,Negotiation,Negative,Objection Handled,Risk Management,Microsoft Purview,4,7,True,True,False,False,False
20,2025-01-07,44,Discovery,Negative,Closed Lost,Risk Management,Microsoft Purview,1,2,False,False,False,True,False
21,2024-12-26,75,Negotiation,Neutral,Proposal Requested,Risk Management,None,1,2,False,False,,False,False
21,2025-05-21,66,Discovery,Neutral,Discovery,Risk Management,OneTrust,3,1,False,True,,False,False
21,2024-12-16,39,Negotiation,Negative,Closed Lost,Security Audit,None,4,0,True,False,,True,False
21,2025-03-25,77,Discovery,Positive,Closed Won,Cost Optimization,Informatica,2,4,True,False,True,True,True
22,2025-02-03,34,Follow-up,Negative,Proposal Requested,Cost Optimization,None,3,6,False,False,True,False,True
22,2025-04-12,39,Demo,Positive,Proposal Requested,Security Audit,OneTrust,3,0,False,False,,False,True
22,2025-04-28,83,Follow-up,Neutral,Proposal Requested,Cost Optimization,Microsoft Purview,4,7,False,True,,True,False
22,2025-03-04,67,Discovery,Neutral,Closed Won,Security Audit,None,4,6,True,False,True,True,False
23,2025-01-10,27,Follow-up,Positive,Closed Won,Data Discovery,Varonis,2,1,False,False,False,False,True
24,2025-05-24,83,Follow-up,Neutral,Closed Won,Operational Efficiency,Varonis,1,9,True,True,,False,True
24,2024-12-26,70,Discovery,Negative,Closed Won,Data Privacy Compliance,Varonis,2,4,True,True,False,True,False
24,2025-03-04,62,Follow-up,Positive,Demo Scheduled,Cost Optimization,Varonis,2,2,True,True,,False,True
25,2025-08-20,33,Demo,Neutral,Closed Won,Risk Management,Varonis,3,10,True,False,False,True,True
25,2025-07-15,59,Negotiation,Negative,Objection Handled,Operational Efficiency,OneTrust,4,4,True,False,False,True,True
25,2025-06-29,88,Negotiation,Negative,Proposal Requested,Operational Efficiency,OneTrust,1,10,False,False,True,True,False
25,2025-06-05,44,Negotiation,Positive,Closed Won,Data Discovery,Microsoft Purview,3,10,True,True,,True,False
26,2024-11-24,89,Negotiation,Negative,Demo Scheduled,Data Privacy Compliance,OneTrust,3,6,True,True,True,False,False
26,2024-12-28,47,Follow-up,Neutral,Closed Won,Risk Management,Collibra,4,1,True,True,,False,False
26,2024-12-09,65,Discovery,Neutral,Follow-up Needed,Data Privacy Compliance,Varonis,3,10,False,False,,False,True
26,2025-05-07,44,Follow-up,Positive,Follow-up Needed,Cost Optimization,OneTrust,2,10,True,False,,False,False
27,2024-09-22,20,Discovery,Neutral,Objection Handled,Data Privacy Compliance,Collibra,2,8,True,False,False,False,False
28,2025-03-11,68,Discovery,Neutral,Follow-up Needed,Security Audit,OneTrust,1,5,True,False,False,True,False
28,2025-02-25,62,Negotiation,Positive,Objection Handled,Risk Management,Informatica,1,7,True,True,,True,True
28,2025-04-26,46,Demo,Negative,Demo Scheduled,Data Privacy Compliance,Microsoft Purview,2,9,True,True,False,True,True
28,2025-04-11,33,Demo,Negative,Proposal Requested,Data Discovery,Collibra,1,2,True,False,True,False,True
28,2025-03-16,48,Discovery,Positive,Closed Won,Security Audit,Microsoft Purview,1,1,False,False,False,True,False
29,2024-06-12,20,Negotiation,Neutral,Closed Won,Data Privacy Compliance,Collibra,4,6,False,True,False,False,True
29,2024-05-07,56,Demo,Positive,Demo Scheduled,Risk Management,Microsoft Purview,3,6,False,False,,False,True
29,2024-10-13,29,Demo,Neutral,Objection Handled,Data Discovery,Varonis,3,7,False,False,,True,False
29,2024-08-04,55,Negotiation,Neutral,Demo Scheduled,Operational Efficiency,Varonis,1,1,True,True,False,True,False
29,2024-05-20,86,Discovery,Negative,Follow-up Needed,Cost Optimization,OneTrust,1,6,False,False,,True,False
30,2024-11-01,60,Discovery,Negative,Follow-up Needed,Data Discovery,Informatica,4,3,True,False,,False,True
30,2024-10-24,88,Demo,Neutral,Closed Lost,Cost Optimization,Microsoft Purview,1,9,False,True,True,False,False
30,2024-11-08,59,Discovery,Positive,Closed Lost,Data Discovery,Microsoft Purview,4,1,True,True,True,True,False
30,2024-11-29,73,Negotiation,Positive,Proposal Requested,Risk Management,None,3,9,True,True,True,True,True
30,2025-02-02,25,Negotiation,Neutral,Closed Won,Security Audit,Varonis,4,6,False,True,,True,False
31,2024-09-10,51,Follow-up,Negative,Closed Won,Risk Management,Collibra,2,6,True,True,True,False,True
31,2024-09-17,47,Negotiation,Neutral,Discovery,Data Privacy Compliance,Varonis,4,2,True,False,,True,False
31,2024-08-31,65,Discovery,Neutral,Discovery,Security Audit,Collibra,3,9,False,False,,False,False
31,2024-09-11,66,Discovery,Neutral,Demo Scheduled,Cost Optimization,Varonis,3,1,False,True,True,False,False
32,2024-12-10,65,Negotiation,Negative,Proposal Requested,Data Discovery,OneTrust,2,1,True,True,False,False,True
32,2025-01-19,28,Demo,Neutral,Demo Scheduled,Data Discovery,Microsoft Purview,2,10,True,True,,False,False
32,2025-04-13,89,Follow-up,Negative,Follow-up Needed,Operational Efficiency,None,3,10,False,True,False,True,False
32,2025-03-13,53,Negotiation,Negative,Discovery,Risk Management,Microsoft Purview,1,4,False,False,True,True,False
32,2025-02-01,24,Discovery,Negative,Follow-up Needed,Cost Optimization,Varonis,4,9,True,False,,True,False
33,2025-03-17,79,Demo,Positive,Objection Handled,Data Privacy Compliance,OneTrust,1,8,True,True,True,False,False
33,2025-03-30,81,Demo,Neutral,Proposal Requested,Risk Management,Varonis,4,5,True,False,True,False,True
33,2025-04-07,64,Negotiation,Neutral,Closed Won,Operational Efficiency,Microsoft Purview,2,5,True,True,False,False,False
33,2024-12-19,25,Negotiation,Negative,Objection Handled,Operational Efficiency,OneTrust,2,10,True,False,,False,True
33,2025-02-16,54,Demo,Positive,Proposal Requested,Security Audit,Informatica,2,2,True,True,False,True,True
34,2025-07-09,31,Follow-up,Positive,Demo Scheduled,Data Discovery,None,2,7,True,False,False,True,False
34,2025-07-07,51,Follow-up,Positive,Follow-up Needed,Data Discovery,OneTrust,4,3,False,False,False,False,False
34,2025-06-09,82,Follow-up,Positive,Closed Lost,Data Discovery,Microsoft Purview,2,4,True,False,False,True,True
35,2024-10-26,35,Negotiation,Neutral,Follow-up Needed,Data Discovery,Varonis,1,3,False,False,True,False,True
35,2025-01-14,79,Negotiation,Positive,Objection Handled,Data Privacy Compliance,OneTrust,2,0,False,True,,False,True
35,2024-11-09,19,Negotiation,Neutral,Closed Won,Data Discovery,None,4,7,True,True,True,False,True
36,2025-01-07,82,Follow-up,Positive,Closed Lost,Risk Management,Informatica,3,1,True,True,False,False,True
36,2024-09-17,78,Discovery,Negative,Follow-up Needed,Cost Optimization,Informatica,2,4,False,True,,False,True
37,2025-01-31,38,Discovery,Negative,Proposal Requested,Data Privacy Compliance,Microsoft Purview,1,6,False,True,,False,False
37,2024-12-20,17,Negotiation,Positive,Proposal Requested,Data Discovery,None,1,9,False,True,True,False,False
37,2025-03-30,37,Follow-up,Negative,Objection Handled,Operational Efficiency,Informatica,2,1,False,True,False,True,True
37,2024-12-07,20,Negotiation,Neutral,Follow-up Needed,Security Audit,Microsoft Purview,4,4,True,True,False,False,True
37,2025-04-02,57,Negotiation,Positive,Closed Lost,Risk Management,Varonis,4,7,False,False,True,False,False
38,2025-01-19,49,Discovery,Negative,Objection Handled,Data Privacy Compliance,Varonis,2,8,False,False,True,True,False
38,2025-02-25,52,Negotiation,Neutral,Follow-up Needed,Operational Efficiency,Varonis,2,7,False,False,True,False,False
38,2024-11-18,22,Discovery,Negative,Closed Won,Security Audit,OneTrust,2,0,True,False,True,True,True
39,2025-01-03,61,Negotiation,Neutral,Follow-up Needed,Data Privacy Compliance,Microsoft Purview,2,10,False,False,False,False,True
39,2024-12-15,32,Negotiation,Neutral,Proposal Requested,Operational Efficiency,OneTrust,2,1,True,True,False,False,True
40,2024-07-11,72,Demo,Negative,Proposal Requested,Operational Efficiency,Varonis,2,1,True,True,False,True,False
40,2024-05-28,55,Negotiation,Negative,Discovery,Cost Optimization,Microsoft Purview,3,4,True,True,False,True,True
40,2024-06-26,32,Demo,Neutral,Discovery,Risk Management,Microsoft Purview,3,7,True,True,True,False,False
41,2025-01-16,67,Follow-up,Negative,Discovery,Data Discovery,OneTrust,1,7,False,False,True,True,True
41,2024-12-23,79,Discovery,Positive,Follow-up Needed,Data Discovery,OneTrust,2,2,False,True,False,False,True
41,2024-11-07,40,Negotiation,Positive,Closed Won,Risk Management,Microsoft Purview,1,8,True,True,True,False,True
41,2024-09-11,25,Discovery,Negative,Closed Lost,Cost Optimization,OneTrust,2,9,False,True,False,False,False
42,2024-11-24,66,Negotiation,Neutral,Discovery,Operational Efficiency,Collibra,2,7,False,False,False,True,False
42,2025-02-25,33,Negotiation,Negative,Proposal Requested,Operational Efficiency,OneTrust,4,2,False,True,False,True,False
42,2024-10-24,49,Follow-up,Positive,Demo Scheduled,Data Privacy Compliance,Collibra,3,6,False,True,True,False,False
42,2024-11-10,35,Follow-up,Negative,Objection Handled,Security Audit,OneTrust,4,0,True,False,,False,True
43,2025-04-21,60,Discovery,Positive,Proposal Requested,Security Audit,Microsoft Purview,4,4,True,True,False,True,False
43,2025-02-24,66,Negotiation,Positive,Objection Handled,Data Privacy Compliance,Microsoft Purview,2,5,False,True,False,False,False
44,2025-01-04,30,Demo,Positive,Objection Handled,Risk Management,OneTrust,3,2,True,False,,True,True
44,2024-07-23,32,Negotiation,Neutral,Follow-up Needed,Security Audit,Informatica,2,5,False,True,False,False,False
44,2024-11-20,80,Follow-up,Negative,Follow-up Needed,Risk Management,Varonis,1,5,False,True,False,False,True
44,2024-12-13,75,Negotiation,Negative,Closed Lost,Cost Optimization,Microsoft Purview,2,0,False,True,,False,True
44,2025-01-04,46,Discovery,Negative,Closed Won,Data Privacy Compliance,Informatica,1,7,False,False,True,False,True
45,2024-10-11,75,Discovery,Negative,Demo Scheduled,Cost Optimization,Informatica,3,10,False,False,False,True,False
45,2024-10-19,58,Negotiation,Negative,Closed Lost,Operational Efficiency,None,3,9,False,True,True,False,False
45,2024-08-01,53,Negotiation,Negative,Demo Scheduled,Operational Efficiency,None,4,5,False,False,,False,False
45,2024-07-06,88,Follow-up,Neutral,Closed Lost,Risk Management,Informatica,3,0,False,True,False,False,False
46,2024-08-12,40,Negotiation,Negative,Closed Won,Risk Management,Informatica,1,9,True,True,True,True,True
46,2024-07-02,27,Follow-up,Neutral,Closed Won,Security Audit,Collibra,2,0,True,False,,False,False
46,2024-12-02,40,Negotiation,Neutral,Proposal Requested,Operational Efficiency,Collibra,1,10,True,True,True,False,True
46,2024-06-28,65,Follow-up,Positive,Closed Won,Risk Management,Collibra,1,4,True,False,False,False,False
47,2024-09-11,74,Negotiation,Positive,Closed Lost,Data Privacy Compliance,OneTrust,2,7,False,True,True,False,False
47,2024-09-27,39,Demo,Negative,Closed Lost,Operational Efficiency,Varonis,4,8,False,True,False,True,True
48,2025-04-19,56,Demo,Positive,Proposal Requested,Security Audit,Informatica,4,4,False,False,,True,False
48,2025-06-03,61,Demo,Positive,Closed Won,Data Privacy Compliance,Varonis,3,2,False,False,,True,False
49,2025-02-13,43,Demo,Positive,Objection Handled,Data Discovery,Varonis,3,6,False,True,True,True,False
49,2025-01-22,61,Discovery,Negative,Discovery,Data Privacy Compliance,Microsoft Purview,2,9,True,True,False,False,True
49,2025-03-02,41,Follow-up,Positive,Follow-up Needed,Security Audit,Collibra,4,2,False,False,,True,False
50,2024-08-03,65,Negotiation,Positive,Closed Won,Data Discovery,Microsoft Purview,1,0,False,False,,True,True
50,2024-08-15,75,Discovery,Neutral,Objection Handled,Data Discovery,Informatica,4,5,False,False,False,False,True
50,2025-01-19,84,Demo,Negative,Closed Lost,Risk Management,Collibra,2,8,False,True,,True,True
51,2025-01-17,74,Follow-up,Negative,Objection Handled,Data Discovery,Informatica,4,5,True,False,True,True,True
52,2025-05-25,17,Demo,Positive,Discovery,Data Privacy Compliance,Microsoft Purview,1,7,True,True,,True,False
52,2025-04-10,44,Demo,Positive,Demo Scheduled,Cost Optimization,OneTrust,2,9,False,False,True,False,True
52,2025-06-06,81,Demo,Neutral,Proposal Requested,Risk Management,Collibra,2,10,False,False,True,False,False
52,2025-05-02,55,Follow-up,Neutral,Demo Scheduled,Risk Management,Varonis,2,8,False,True,True,False,True
53,2024-09-20,86,Follow-up,Neutral,Follow-up Needed,Cost Optimization,Informatica,4,3,False,True,False,True,False
53,2024-12-09,26,Demo,Positive,Proposal Requested,Security Audit,None,1,1,True,True,False,True,False
53,2024-11-22,16,Demo,Positive,Closed Won,Data Privacy Compliance,None,4,3,True,False,True,False,False
53,2024-12-12,74,Negotiation,Neutral,Proposal Requested,Risk Management,Microsoft Purview,4,7,True,False,False,True,False
54,2025-03-07,20,Demo,Negative,Demo Scheduled,Data Privacy Compliance,OneTrust,4,4,True,True,False,True,False
54,2025-04-16,46,Follow-up,Negative,Closed Won,Operational Efficiency,OneTrust,3,7,False,False,True,False,True
54,2024-12-27,84,Follow-up,Positive,Follow-up Needed,Operational Efficiency,Collibra,1,1,True,True,False,True,True
55,2024-10-28,16,Demo,Negative,Objection Handled,Risk Management,Collibra,4,10,False,True,True,False,True
56,2024-09-16,50,Negotiation,Positive,Follow-up Needed,Operational Efficiency,None,4,2,True,True,,True,True
57,2024-09-16,82,Negotiation,Neutral,Proposal Requested,Security Audit,Collibra,3,6,False,True,,True,False
57,2024-10-03,25,Discovery,Positive,Objection Handled,Security Audit,Varonis,4,0,True,True,True,False,False
58,2024-12-01,27,Discovery,Positive,Demo Scheduled,Operational Efficiency,Microsoft Purview,4,4,True,True,,False,True
58,2024-08-24,55,Discovery,Positive,Follow-up Needed,Data Discovery,None,4,1,False,True,,True,False
58,2024-12-30,84,Negotiation,Neutral,Closed Lost,Operational Efficiency,Informatica,1,8,False,True,True,False,True
59,2025-01-24,65,Negotiation,Positive,Closed Won,Risk Management,Varonis,4,3,False,False,False,True,False
60,2024-12-22,52,Demo,Negative,Discovery,Data Privacy Compliance,OneTrust,2,6,True,False,False,False,True
61,2024-04-15,54,Follow-up,Neutral,Closed Lost,Risk Management,Collibra,2,1,True,False,False,False,True
62,2024-11-21,60,Discovery,Negative,Follow-up Needed,Risk Management,Varonis,1,4,False,False,True,True,True
63,2024-12-11,32,Negotiation,Neutral,Proposal Requested,Security Audit,Informatica,1,2,False,False,False,False,False
63,2024-11-17,61,Negotiation,Positive,Closed Won,Operational Efficiency,Varonis,2,7,True,True,False,True,False
63,2025-01-22,63,Negotiation,Neutral,Proposal Requested,Security Audit,None,2,4,False,True,False,False,True
63,2025-02-07,55,Negotiation,Negative,Closed Won,Operational Efficiency,Varonis,2,5,False,False,False,False,True
64,2024-05-29,90,Demo,Negative,Closed Lost,Cost Optimization,Collibra,4,3,False,False,,True,False
64,2024-09-27,78,Demo,Negative,Proposal Requested,Data Discovery,OneTrust,2,6,False,True,False,False,False
64,2024-08-22,79,Follow-up,Negative,Discovery,Risk Management,None,1,1,True,False,True,True,False
64,2024-07-01,70,Discovery,Positive,Discovery,Risk Management,Informatica,2,7,False,False,False,True,False
64,2024-04-14,76,Discovery,Neutral,Objection Handled,Data Privacy Compliance,Collibra,2,5,False,False,False,True,False
65,2025-01-07,27,Follow-up,Negative,Closed Won,Security Audit,OneTrust,1,4,True,True,True,False,True
65,2025-02-28,36,Demo,Negative,Demo Scheduled,Cost Optimization,Informatica,3,8,False,False,True,False,True
65,2024-10-25,70,Follow-up,Positive,Closed Won,Cost Optimization,Informatica,4,9,False,False,True,True,True
66,2024-11-18,23,Discovery,Negative,Demo Scheduled,Risk Management,OneTrust,2,7,True,False,,False,False
66,2024-10-21,64,Follow-up,Negative,Discovery,Risk Management,OneTrust,4,9,True,False,,True,True
66,2024-08-10,30,Demo,Neutral,Discovery,Data Discovery,OneTrust,2,8,False,False,,True,False
67,2025-01-04,77,Demo,Negative,Demo Scheduled,Security Audit,OneTrust,2,2,False,False,,True,False
67,2024-11-20,77,Demo,Positive,Closed Lost,Security Audit,Microsoft Purview,4,6,False,False,,False,False
67,2024-12-30,25,Discovery,Positive,Proposal Requested,Data Privacy Compliance,OneTrust,2,8,False,True,False,False,True
67,2025-04-13,29,Negotiation,Negative,Closed Lost,Risk Management,Microsoft Purview,1,7,True,False,True,True,False
68,2025-06-10,48,Negotiation,Positive,Objection Handled,Data Privacy Compliance,Informatica,2,9,False,False,True,True,True
69,2024-05-07,87,Negotiation,Negative,Proposal Requested,Cost Optimization,Microsoft Purview,2,5,False,False,,False,True
69,2024-05-26,67,Discovery,Neutral,Closed Lost,Operational Efficiency,Informatica,2,3,True,False,True,False,False
70,2024-08-25,49,Follow-up,Neutral,Objection Handled,Data Privacy Compliance,None,1,6,False,False,False,False,False
70,2024-08-26,15,Discovery,Negative,Objection Handled,Operational Efficiency,None,3,1,False,True,False,True,False
71,2025-02-07,51,Negotiation,Negative,Follow-up Needed,Data Discovery,Microsoft Purview,4,5,True,True,True,False,True
71,2024-12-18,35,Follow-up,Neutral,Discovery,Security Audit,Informatica,2,10,False,True,False,True,False
71,2025-01-20,25,Negotiation,Negative,Closed Won,Data Discovery,Collibra,4,10,False,True,False,True,True
72,2024-08-25,76,Discovery,Positive,Follow-up Needed,Data Discovery,Microsoft Purview,4,0,True,False,True,False,True
73,2024-11-13,44,Follow-up,Positive,Closed Won,Data Privacy Compliance,Collibra,3,5,False,True,False,True,True
73,2024-11-12,82,Discovery,Negative,Closed Won,Data Discovery,Varonis,3,3,True,False,,False,True
73,2024-11-17,27,Demo,Positive,Follow-up Needed,Operational Efficiency,Varonis,3,6,False,True,True,False,True
73,2024-12-28,85,Negotiation,Negative,Discovery,Operational Efficiency,OneTrust,2,8,True,False,False,True,True
74,2024-09-07,29,Demo,Neutral,Closed Won,Cost Optimization,Collibra,1,5,False,True,False,False,False
74,2024-10-18,37,Follow-up,Positive,Discovery,Cost Optimization,Collibra,1,4,True,True,True,False,False
74,2024-11-08,79,Follow-up,Neutral,Closed Won,Security Audit,Collibra,2,4,True,False,True,True,True
74,2024-10-16,56,Follow-up,Negative,Closed Won,Operational Efficiency,None,1,4,False,True,True,True,True
75,2025-01-15,73,Discovery,Neutral,Closed Won,Operational Efficiency,None,2,1,True,True,,True,True
75,2025-04-23,59,Negotiation,Positive,Proposal Requested,Data Discovery,None,3,1,True,False,False,False,True
75,2025-02-22,88,Discovery,Neutral,Objection Handled,Cost Optimization,OneTrust,1,7,True,False,True,False,True
75,2025-05-12,29,Demo,Negative,Follow-up Needed,Data Privacy Compliance,Collibra,1,3,True,False,False,False,True
76,2024-07-15,85,Follow-up,Positive,Proposal Requested,Data Discovery,Varonis,3,4,True,False,True,True,True
76,2024-09-01,81,Discovery,Neutral,Discovery,Security Audit,OneTrust,3,5,True,False,True,False,True
77,2024-12-08,53,Demo,Neutral,Proposal Requested,Cost Optimization,Varonis,2,8,True,True,True,False,True
77,2024-09-14,84,Negotiation,Negative,Closed Lost,Operational Efficiency,Collibra,3,0,False,False,True,True,True
77,2024-11-01,77,Discovery,Positive,Closed Won,Risk Management,Collibra,1,3,False,False,False,True,True
78,2024-12-06,65,Discovery,Negative,Follow-up Needed,Data Privacy Compliance,Varonis,2,3,False,False,False,False,False
78,2025-01-22,72,Negotiation,Positive,Discovery,Data Discovery,Informatica,1,2,True,True,False,False,False
78,2025-02-14,30,Negotiation,Positive,Objection Handled,Risk Management,Varonis,3,1,True,True,,False,True
78,2024-12-27,56,Demo,Positive,Closed Won,Data Discovery,OneTrust,4,8,True,False,False,True,True
78,2025-02-13,72,Demo,Positive,Objection Handled,Data Privacy Compliance,Informatica,1,0,True,True,True,True,False
79,2024-10-06,25,Negotiation,Positive,Discovery,Data Privacy Compliance,Informatica,4,2,True,False,True,True,False
79,2024-04-26,36,Follow-up,Negative,Objection Handled,Security Audit,Collibra,4,10,False,True,False,True,True
79,2024-06-23,50,Follow-up,Positive,Discovery,Cost Optimization,Microsoft Purview,2,10,False,False,False,False,True
80,2025-02-13,64,Demo,Neutral,Demo Scheduled,Operational Efficiency,Microsoft Purview,2,10,True,False,,False,False
81,2025-05-29,59,Negotiation,Neutral,Proposal Requested,Data Discovery,Collibra,3,9,True,True,False,True,False
81,2025-06-09,60,Demo,Positive,Discovery,Data Discovery,None,2,4,True,True,,False,False
81,2025-03-10,37,Demo,Negative,Proposal Requested,Operational Efficiency,None,3,9,True,False,,True,True
81,2025-05-31,84,Negotiation,Positive,Objection Handled,Data Privacy Compliance,Collibra,1,3,True,True,,False,True
81,2025-04-19,40,Demo,Neutral,Closed Won,Data Discovery,OneTrust,1,0,True,True,True,False,True
82,2025-09-20,65,Discovery,Neutral,Proposal Requested,Risk Management,Informatica,2,6,False,False,True,False,True
